企业名称,所属载体,年份,从业总人数,科研人员数,大学及以上学历人员数量,研究生数量,博士数量
龙岩华崇信息科技有限公司,龙岩市科技创业园,2021,11,4,11,2,2
福建中微厦林生物技术有限公司,龙岩市科技创业园,2020,11,2,6,2,0
龙岩市瑞泽环保科技有限公司,龙岩市科技创业园,2021,8,3,5,0,0
福建杰达环保科技有限公司,龙岩市科技创业园,2021,8,2,3,0,0
龙岩市启创自动化设备有限公司,龙岩市科技创业园,2020,4,3,4,0,0
福建龙植生物科技有限公司,龙岩市科技创业园,2020,10,2,6,0,1
龙岩市龙桥贸易有限公司,龙岩市科技创业园,2019,18,0,5,0,0
福建省科美达电力勘察设计有限公司龙岩分公司,龙岩市科技创业园,2020,8,5,4,0,0
福建龙芯北斗科技发展有限公司,龙岩市科技创业园,2020,9,4,6,1,1
龙岩市海诚信息科技有限公司,龙岩市科技创业园,2020,5,2,4,0,0
福建海华医药连锁有限公司,龙岩市科技创业园,2020,5,0,3,0,0
福建泉龙医药连锁有限公司,龙岩市科技创业园,2019,8,0,8,0,0
新罗区天康参茸行（个体工商户）,龙岩市科技创业园,2019,1,0,1,0,0
福台缘生态农业科技（福建）有限公司,龙岩市科技创业园,2020,4,1,1,0,0
福建省华成天韵商贸有限公司,龙岩市科技创业园,2019,2,0,2,0,0
易之泰生物科技（龙岩）有限公司,龙岩市科技创业园,2019,15,7,6,0,1
龙岩市汇知康医药科技有限公司,龙岩市科技创业园,2019,3,0,3,0,0
龙岩聚达科技有限公司,龙岩市科技创业园,2020,9,5,9,1,1
福建杰达环保科技有限公司,龙岩市科技创业园,2019,14,4,10,1,0
福建省泉龙医药物流有限公司,龙岩市科技创业园,2019,9,0,9,0,0
龙岩市瑞泽环保科技有限公司,龙岩市科技创业园,2020,7,3,5,0,0
福建杰达环保科技有限公司,龙岩市科技创业园,2020,14,3,13,1,0
福建省华杭生物科技开发有限公司,龙岩市科技创业园,2020,15,12,13,1,1
福建全道科技有限责任公司,龙岩市科技创业园,2019,3,2,2,0,0
福建中微厦林生物技术有限公司,龙岩市科技创业园,2019,7,4,6,1,0
福建龙夏电子科技有限公司,龙岩市科技创业园,2020,15,8,13,4,2
福建迅波电子科技有限公司,龙岩市科技创业园,2020,12,9,12,5,1
国药器械龙岩有限公司,龙岩市科技创业园,2019,26,0,20,0,0
龙岩丽荣电子科技有限公司,龙岩市科技创业园,2020,3,2,1,0,0
福建龙植生物科技有限公司,龙岩市科技创业园,2019,10,2,4,0,2
福建英创金属分子工程科技有限公司,龙岩市科技创业园,2019,7,4,4,0,3
福建龙新三维阵列科技有限公司,龙岩市科技创业园,2020,15,10,11,1,2
龙岩市五环环保设备有限公司,龙岩市科技创业园,2020,48,10,15,0,0
福建龙生生物科技有限公司,龙岩市科技创业园,2020,20,6,19,2,2
福建心智信息科技股份有限公司,龙岩市科技创业园,2020,16,7,9,1,0
福建省华成医药有限公司,龙岩市科技创业园,2019,10,0,10,0,0
福建福科环保科技有限公司,龙岩市科技创业园,2020,3,2,2,0,0
福建新海信息科技有限公司,龙岩市科技创业园,2019,6,3,3,0,0
龙岩市欣尔科技有限公司,龙岩市科技创业园,2020,5,3,5,0,1
龙岩华崇信息科技有限公司,龙岩市科技创业园,2020,9,5,8,2,2
龙岩双创知识产权代理有限公司,龙岩市科技创业园,2019,5,3,4,0,0
福建龙新三维阵列科技有限公司,龙岩市科技创业园,2019,11,8,6,1,2
福建龙夏电子科技有限公司,龙岩市科技创业园,2019,17,8,10,4,1
福建钰辰微电子有限公司,龙岩市科技创业园,2019,59,19,40,1,0
福建龙夏电子科技有限公司,龙岩市科技创业园,2018,14,6,14,4,1
福建省华杭生物科技开发有限公司,龙岩市科技创业园,2018,15,12,6,1,1
龙岩市瑞泽环保科技有限公司,龙岩市科技创业园,2019,10,3,4,0,0
龙岩市华杭生物科技开发有限公司,龙岩市科技创业园,2018,9,4,0,0,0
福建龙植生物科技有限公司,龙岩市科技创业园,2018,8,2,2,0,2
福建高瓴电子有限公司,龙岩市科技创业园,2019,7,4,6,1,0
龙岩华崇信息科技有限公司,龙岩市科技创业园,2019,7,4,6,2,1
龙岩元谱光电科技有限公司,龙岩市科技创业园,2019,5,4,4,0,1
福建龙芯北斗科技发展有限公司,龙岩市科技创业园,2019,9,4,6,1,1
国药器械龙岩有限公司,龙岩市科技创业园,2020,26,0,20,0,0
